"Freq [GHz]","dB(S(1,1)) []"
1.344,-1.20747705877901
1.348,-1.19618131836515
1.352,-1.18517857094458
1.356,-1.17445986537889
1.36,-1.16401660310539
1.364,-1.15384052176275
1.368,-1.14392367969094
1.372,-1.13425844125309
1.376,-1.12483746293035
1.38,-1.11565368014389
1.384,-1.10670029476148
1.388,-1.09797076324866
1.392,-1.08945878542698
1.396,-1.08115829380454
1.4,-1.07306344344594
1.404,-1.06516860235095
1.408,-1.05746834231327
1.412,-1.04995743023235
1.416,-1.04263081985291
1.42,-1.03548364390865
1.424,-1.02851120664771
1.428,-1.02170897671909
1.432,-1.01507258040032
1.436,-1.00859779514794
1.44,-1.00228054345357
1.444,-0.996116886989078
1.448,-0.990103021025582
1.452,-0.984235269111901
1.456,-0.978510077998743
1.46,-0.972924012795948
1.464,-0.967473752350584
1.468,-0.962156084834668
1.472,-0.956967903531652
1.476,-0.951906202811696
1.48,-0.946968074286061
1.484,-0.942150703131703
1.488,-0.937451364577537
1.492,-0.932867420544337
1.496,-0.928396316430682
1.5,-0.924035578037803
1.504,-0.919782808626505
1.508,-0.915635686099803
1.512,-0.911591960305216
1.516,-0.907649450450859
1.52,-0.903806042630109
1.524,-0.900059687449485
1.528,-0.896408397755033
1.532,-0.892850246452505
1.536,-0.889383364416987
1.54,-0.88600593848785
1.544,-0.882716209545029
1.548,-0.879512470662985
1.552,-0.876393065338717
1.556,-0.873356385790535
1.56,-0.870400871324378
1.564,-0.867525006764618
1.568,-0.864727320946524
1.572,-0.862006385267625
1.576,-0.859360812295352
1.58,-0.856789254428523
1.584,-0.854290402610299
1.588,-0.851862985090405
1.592,-0.84950576623441
1.596,-0.847217545378158
1.6,-0.844997155725321
1.604,-0.842843463286288
1.608,-0.840755365856639
1.612,-0.838731792033532
1.616,-0.836771700268391
1.62,-0.834874077954448
1.624,-0.833037940547621
1.628,-0.831262330719394
1.632,-0.829546317540408
1.636,-0.827888995693431
1.64,-0.826289484714616
1.644,-0.824746928261832
1.648,-0.823260493408998
1.652,-0.821829369965398
1.656,-0.820452769818966
1.66,-0.819129926302609
1.664,-0.817860093582622
1.668,-0.816642546068391
1.672,-0.8154765778425
1.676,-0.814361502110487
1.68,-0.813296650669447
1.684,-0.812281373394816
1.688,-0.811315037744615
1.692,-0.810397028280453
1.696,-0.809526746204723
1.7,-0.808703608913329
1.704,-0.807927049563396
1.708,-0.807196516655371
1.712,-0.806511473629017
1.716,-0.805871398472757
1.72,-0.805275783345907
1.724,-0.804724134213281
1.728,-0.804215970491786
1.732,-0.803750824708507
1.736,-0.803328242169896
1.74,-0.802947780641692
1.744,-0.802609010039131
1.748,-0.802311512127132
1.752,-0.802054880230105
1.756,-0.801838718950979
1.76,-0.801662643899217
1.764,-0.801526281427454
1.768,-0.801429268376455
1.772,-0.801371251828125
1.776,-0.80135188886631
1.78,-0.801370846345057
1.784,-0.801427800664175
1.788,-0.801522437551773
1.792,-0.801654451853554
1.796,-0.801823547328696
1.8,-0.802029436452012
1.804,-0.802271840222247
1.808,-0.802550487976303
1.812,-0.802865117209123
1.816,-0.803215473399206
1.82,-0.803601309839363
1.824,-0.80402238747275
1.828,-0.804478474733847
1.832,-0.804969347394319
1.836,-0.805494788413564
1.84,-0.806054587793819
1.844,-0.806648542439662
1.848,-0.807276456021778
1.852,-0.807938138844874
1.856,-0.808633407719586
1.86,-0.80936208583824
1.864,-0.810124002654449
1.868,-0.810918993766268
1.872,-0.811746900802942
1.876,-0.81260757131506
1.88,-0.813500858668029
1.884,-0.81442662193879
1.888,-0.815384725815629
1.892,-0.81637504050106
1.896,-0.817397441617628
1.9,-0.818451810116571
1.904,-0.819538032189254
1.908,-0.82065599918132
1.912,-0.821805607509416
1.916,-0.822986758580483
1.92,-0.824199358713499
1.924,-0.825443319063642
1.928,-0.826718555548716
1.932,-0.828024988777933
1.936,-0.829362543982786
1.94,-0.830731150950138
1.944,-0.832130743957337
1.948,-0.833561261709363
1.952,-0.835022647277926
1.956,-0.836514848042501
1.96,-0.838037815633149
1.964,-0.839591505875199
1.968,-0.841175878735661
1.972,-0.842790898271322
1.976,-0.844436532578536
1.98,-0.846112753744581
1.984,-0.847819537800626
1.988,-0.849556864676174
1.992,-0.851324718155034
1.996,-0.8531230858327
2,-0.854951959075145
