"Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
0.652,14.6621097800391,-336.13805344609
0.656,14.755821928583,-333.010001682656
0.66,14.8503845612129,-329.910881430558
0.664,14.945809378463,-326.840108741982
0.668,15.0421084175373,-323.797112887032
0.672,15.1392940536721,-320.78133595396
0.676,15.2373790016652,-317.792232463487
0.68,15.3363763175745,-314.829268996649
0.684,15.4362994005806,-311.891923835595
0.688,15.5371619950166,-308.979686616825
0.692,15.63897819256,-306.092057996358
0.696,15.7417624345885,-303.228549326345
0.7,15.8455295147011,-300.388682342676
0.704,15.9502945813981,-297.57198886314
0.708,16.0560731409301,-294.778010495721
0.712,16.1628810603029,-292.006298356628
0.716,16.2707345704526,-289.256412797685
0.72,16.3796502695787,-286.527923142708
0.724,16.4896451266441,-283.820407432528
0.728,16.6007364850404,-281.133452178325
0.732,16.712942066417,-278.466652122956
0.736,16.8262799746769,-275.819610009967
0.74,16.9407687001424,-273.191936360013
0.744,17.0564271238855,-270.583249254385
0.748,17.1732745222325,-267.993174125404
0.752,17.2913305714362,-265.421343553403
0.756,17.4106153525242,-262.867397070069
0.76,17.5311493563194,-260.330980967902
0.764,17.6529534886392,-257.811748115581
0.768,17.7760490756694,-255.309357778997
0.772,17.9004578695229,-252.823475447776
0.776,18.0262020539769,-250.353772667078
0.78,18.1533042503967,-247.899926874484
0.784,18.2817875238452,-245.4616212418
0.788,18.4116753893837,-243.038544521596
0.792,18.5429918185625,-240.630390898309
0.796,18.6757612461079,-238.236859843769
0.8,18.8100085768046,-235.857655976972
0.804,18.945759192581,-233.492488927972
0.808,19.0830389597963,-231.141073205737
0.812,19.221874236734,-228.803128069842
0.816,19.3622918813059,-226.478377405871
0.82,19.5043192589697,-224.16654960439
0.824,19.6479842508625,-221.86737744339
0.828,19.7933152621539,-219.580597974069
0.832,19.940341230626,-217.30595240985
0.836,20.0890916354785,-215.04318601853
0.84,20.2395965063665,-212.792048017459
0.844,20.3918864326757,-210.552291471637
0.848,20.5459925730367,-208.323673194662
0.852,20.7019466650842,-206.105953652409
0.856,20.859781035466,-203.898896869378
0.86,21.0195286101049,-201.70227033761
0.864,21.1812229247208,-199.515844928103
0.868,21.344898135615,-197.339394804642
0.872,21.5105890307239,-195.17269733998
0.876,21.678331040947,-193.015533034282
0.88,21.8481602517527,-190.867685435788
