"Freq [GHz]","dB(S(1,1)) [] - l='1mm'","dB(S(1,1)) [] - l='2mm'","dB(S(1,1)) [] - l='3mm'","dB(S(1,1)) [] - l='4mm'","dB(S(1,1)) [] - l='5mm'","dB(S(1,1)) [] - l='6mm'","dB(S(1,1)) [] - l='7mm'","dB(S(1,1)) [] - l='8mm'","dB(S(1,1)) [] - l='9mm'","dB(S(1,1)) [] - l='10mm'","dB(S(1,1)) [] - l='11mm'","dB(S(1,1)) [] - l='12mm'","dB(S(1,1)) [] - l='13mm'","dB(S(1,1)) [] - l='14mm'","dB(S(1,1)) [] - l='15mm'","dB(S(1,1)) [] - l='16mm'","dB(S(1,1)) [] - l='17mm'","dB(S(1,1)) [] - l='18mm'","dB(S(1,1)) [] - l='19mm'","dB(S(1,1)) [] - l='20mm'","dB(S(1,1)) [] - l='21mm'","dB(S(1,1)) [] - l='22mm'","dB(S(1,1)) [] - l='22.5mm'","dB(S(1,1)) [] - l='23mm'","dB(S(1,1)) [] - l='23.5mm'","dB(S(1,1)) [] - l='24mm'","dB(S(1,1)) [] - l='25mm'"
1.248,-1.67172835065128,-1.77049414015695,-1.8936707852423,-2.01277601630662,-2.1488541613931,-2.34329439345975,-2.53319523091878,-2.75669416632851,-3.02415799628748,-3.24976541390095,-3.76947141855023,-4.1099584779092,-4.71473594108284,-5.52378380013788,-6.34952562561726,-7.51791537772738,-8.99122984680115,-11.1710820949597,-14.4165681657184,-18.5825412008141,-21.6247164091794,-16.2397908461067,-13.7716205196784,-12.0046360561609,-10.2444333898609,-8.94611788593539,-6.97083714457419
1.252,-1.64771158779908,-1.74393895295478,-1.86378166197302,-1.97956355762641,-2.11175838611059,-2.30041114861069,-2.48401425192026,-2.70049320014363,-2.95872910899598,-3.17665157894594,-3.67627394862327,-4.00390405374311,-4.58283647645585,-5.35580391055916,-6.14188491719083,-7.2501721327118,-8.63897048686893,-10.677410423645,-13.6759518588341,-17.5452934959384,-21.8263860320042,-17.2697649566451,-14.6048739423194,-12.689395350763,-10.792186258358,-9.40210378652388,-7.30009199724965
1.256,-1.62443538448388,-1.71822128853053,-1.83486115627941,-1.94745406665779,-2.07592674306809,-2.25903987203864,-2.43663079458288,-2.64640784353806,-2.89585748565718,-3.10646753654386,-3.58705582163079,-3.90251281437807,-4.45708484062693,-5.19617703731425,-5.94520767410644,-6.9976997538977,-8.30881551420692,-10.2190197759365,-12.9961322271994,-16.5667821492344,-21.4899262568841,-18.3569825091933,-15.506300681313,-13.4282316377589,-11.3790435935244,-9.88795724064799,-7.64824979552129
1.26,-1.60187092275068,-1.69330769623211,-1.80686937877083,-1.91640089103658,-2.04130427399999,-2.2191124542779,-2.3909608380529,-2.5943362237569,-2.83541526312957,-3.03906308135229,-3.50159960084396,-3.80552204725551,-4.33711282208852,-5.0443654977361,-5.75873652105086,-6.75933785955413,-7.99887427161049,-9.79241740903908,-12.3709310485579,-15.6604292733503,-20.7359145646395,-19.464978384827,-16.4787043730887,-14.2267114893272,-12.0090878162462,-10.4064970691383,-8.01674031182723
1.264,-1.57999077925907,-1.66916638149568,-1.77976846875388,-1.8863598079986,-2.00783895416644,-2.18056454010585,-2.34692515302199,-2.54418244080562,-2.77728234907975,-2.97429736609335,-3.41970230163214,-3.71268710126293,-4.22257931406408,-4.89987472359222,-5.58178031868351,-6.53403992070557,-7.70746742495915,-9.39454851314085,-11.7945977384609,-14.8273027506685,-19.7572511791128,-20.5139161929506,-17.5189482501548,-15.0902355873101,-12.686905852458,-10.9609244926,-8.40715529755812
1.268,-1.55876884622687,-1.64576710990769,-1.75352247365525,-1.85728887666748,-1.97548150971563,-2.14333528737905,-2.3044489834067,-2.49585615928981,-2.72134587065429,-2.91203821920393,-3.34117425865817,-3.62377991155032,-4.11316791237416,-4.76224902442277,-5.41370696329508,-6.32085928263037,-7.4330978993756,-9.02273594342739,-11.2619707754369,-14.0632387011804,-18.7078206107671,-21.3623605995921,-18.6105704967839,-16.0229018225134,-13.4175528960021,-11.5548722942243,-8.82127408137701
1.272,-1.5381802574722,-1.6230811175842,-1.72809723658358,-1.82914830053593,-1.94418524795231,-2.10736714346363,-2.26346175207685,-2.4492722320635,-2.66749966796362,-2.85216151977933,-3.2658380966554,-3.53858766628616,-4.00858476767484,-4.63106785425726,-5.25393713432942,-6.11893723195705,-7.17442634766498,-8.67462658246126,-10.7684959928659,-13.3622355864203,-17.6754167508743,-21.8261976819792,-19.7101298869663,-17.0250276139111,-14.2063810292083,-12.1924442264381,-9.2610934599334
1.276,-1.51820131918771,-1.60108102740407,-1.70346029141808,-1.80190029935681,-1.91390589949493,-2.07260563782411,-2.22389678859287,-2.40435035288796,-2.61564382823503,-2.79455062429879,-3.19352779377163,-3.45691159933513,-3.90855666024732,-4.50594251123056,-5.10193884472549,-5.92749277332169,-6.93025042911449,-8.34814495338752,-10.310185246879,-12.7179862386002,-16.7000897527328,-21.7749253071531,-20.7268782720068,-18.0880131253862,-15.0585778568314,-12.8782242216224,-9.72886220610619
1.28,-1.49880944510961,-1.57974077067017,-1.67958076486292,-1.77550898972624,-1.88460147139249,-2.03899918946477,-2.18569107710581,-2.36101473557996,-2.56568425692749,-2.73909584022867,-3.12408782782059,-3.37856589493614,-3.81282927011355,-4.38651321082812,-4.95722267366717,-5.74581383768007,-6.69948727162654,-8.04145369854122,-9.88355433170846,-12.1245230027848,-15.7957393955968,-21.2381116201869,-21.5086008070419,-19.1843737620633,-15.9780999873908,-13.6172129021648,-10.2271201134738
1.284,-1.47998309577041,-1.55903551380655,-1.65642928495189,-1.74994027370172,-1.85623211035234,-2.00649892803488,-2.14878502274635,-2.31919381737452,-2.51753228248384,-2.68569394212937,-3.05737239694593,-3.30337669224487,-3.72116561910561,-4.27244648275131,-4.81933758151911,-5.57324969277683,-6.48115858614644,-7.75292015678783,-9.48555772950611,-11.5764513498444,-14.9637850417104,-20.3787540023553,-21.8741657456591,-20.2508723374827,-16.9653718649592,-14.4146043459936,-10.7587405907734
