"Frequency";"S11-S-Real";"S11-S-Imaginary";"S12-S-Real";"S12-S-Imaginary";"S21-S-Real";"S21-S-Imaginary";"S22-S-Real";"S22-S-Imaginary"
"4.09e+08";"0.9353323922944039";"0.2463451476334783";"0";"0";"0";"0";"0";"0"
"428950000";"0.375814533256185";"-0.6815351887145785";"0";"0";"0";"0";"0";"0"
"448900000";"-0.4204365388976306";"-0.6677937110047789";"0";"0";"0";"0";"0";"0"
"468850000";"-0.7747574699970382";"0.1575772117159615";"0";"0";"0";"0";"0";"0"
"488800000";"-0.29086873597528423";"0.765854579757326";"0";"0";"0";"0";"0";"0"
"508750000";"0.7217510590262354";"0.4213095008463807";"0";"0";"0";"0";"0";"0"
"528700000";"0.7023132278161203";"-0.5957921161056972";"0";"0";"0";"0";"0";"0"
"548650000";"-0.2831690275178898";"-0.6348429418661714";"0";"0";"0";"0";"0";"0"
"568600000";"-0.7169688153953583";"0.022157005877633213";"0";"0";"0";"0";"0";"0"
"588550000";"-0.08217222360116225";"0.8231178516054072";"0";"0";"0";"0";"0";"0"
"608500000";"0.8441351353194853";"0.5877804600518609";"0";"0";"0";"0";"0";"0"
"628450000";"0.592187882025361";"-0.4453065738220068";"0";"0";"0";"0";"0";"0"
"648400000";"-0.18371206219318928";"-0.7104180451100635";"0";"0";"0";"0";"0";"0"
"668350000";"-0.6562921227117116";"-0.04247153593537064";"0";"0";"0";"0";"0";"0"
"688300000";"-0.46948307930650474";"0.6000967205936171";"0";"0";"0";"0";"0";"0"
"708250000";"0.4790407606490956";"0.5517591886963364";"0";"0";"0";"0";"0";"0"
"728200000";"0.7992917011893174";"-0.33208256293595767";"0";"0";"0";"0";"0";"0"
"748150000";"-0.06089205375053794";"-0.6070113470219778";"0";"0";"0";"0";"0";"0"
"768100000";"-0.6332437867020756";"-0.15982077087274524";"0";"0";"0";"0";"0";"0"
"788050000";"-0.25857830943284116";"0.6973161256179945";"0";"0";"0";"0";"0";"0"
"8.08e+08";"0.6124172595398352";"0.7146139437771022";"0";"0";"0";"0";"0";"0"
